0.000000f, -1.000000f, 0.000000f, 0.1876f, -0.7947f, 0.5774f,
0.723600f, -0.447215f, 0.525720f, 0.1876f, -0.7947f, 0.5774f,
-0.276385f, -0.447215f, 0.850640f, 0.1876f, -0.7947f, 0.5774f,

0.723600f, -0.447215f, 0.525720f, 0.6071f, -0.7947f, 0.0000f,
0.000000f, -1.000000f, 0.000000f, 0.6071f, -0.7947f, 0.0000f,
0.723600f, -0.447215f, -0.525720f, 0.6071f, -0.7947f, 0.0000f,

0.000000f, -1.000000f, 0.000000f, -0.4911f, -0.7947f, 0.3568f,
-0.276385f, -0.447215f, 0.850640f, -0.4911f, -0.7947f, 0.3568f,
-0.894425f, -0.447215f, 0.000000f, -0.4911f, -0.7947f, 0.3568f,

0.000000f, -1.000000f, 0.000000f, -0.4911f, -0.7947f, -0.3568f,
-0.894425f, -0.447215f, 0.000000f, -0.4911f, -0.7947f, -0.3568f,
-0.276385f, -0.447215f, -0.850640f, -0.4911f, -0.7947f, -0.3568f,

0.000000f, -1.000000f, 0.000000f, 0.1876f, -0.7947f, -0.5774f,
-0.276385f, -0.447215f, -0.850640f, 0.1876f, -0.7947f, -0.5774f,
0.723600f, -0.447215f, -0.525720f, 0.1876f, -0.7947f, -0.5774f,

0.723600f, -0.447215f, 0.525720f, 0.9822f, -0.1876f, 0.0000f,
0.723600f, -0.447215f, -0.525720f, 0.9822f, -0.1876f, 0.0000f,
0.894425f, 0.447215f, 0.000000f, 0.9822f, -0.1876f, 0.0000f,

-0.276385f, -0.447215f, 0.850640f, 0.3035f, -0.1876f, 0.9342f,
0.723600f, -0.447215f, 0.525720f, 0.3035f, -0.1876f, 0.9342f,
0.276385f, 0.447215f, 0.850640f, 0.3035f, -0.1876f, 0.9342f,

-0.894425f, -0.447215f, 0.000000f, -0.7946f, -0.1876f, 0.5774f,
-0.276385f, -0.447215f, 0.850640f, -0.7946f, -0.1876f, 0.5774f,
-0.723600f, 0.447215f, 0.525720f, -0.7946f, -0.1876f, 0.5774f,

-0.276385f, -0.447215f, -0.850640f, -0.7946f, -0.1876f, -0.5774f,
-0.894425f, -0.447215f, 0.000000f, -0.7946f, -0.1876f, -0.5774f,
-0.723600f, 0.447215f, -0.525720f, -0.7946f, -0.1876f, -0.5774f,

0.723600f, -0.447215f, -0.525720f, 0.3035f, -0.1876f, -0.9342f,
-0.276385f, -0.447215f, -0.850640f, 0.3035f, -0.1876f, -0.9342f,
0.276385f, 0.447215f, -0.850640f, 0.3035f, -0.1876f, -0.9342f,

0.723600f, -0.447215f, 0.525720f, 0.7946f, 0.1876f, 0.5774f,
0.894425f, 0.447215f, 0.000000f, 0.7946f, 0.1876f, 0.5774f,
0.276385f, 0.447215f, 0.850640f, 0.7946f, 0.1876f, 0.5774f,

-0.276385f, -0.447215f, 0.850640f, -0.3035f, 0.1876f, 0.9342f,
0.276385f, 0.447215f, 0.850640f, -0.3035f, 0.1876f, 0.9342f,
-0.723600f, 0.447215f, 0.525720f, -0.3035f, 0.1876f, 0.9342f,

-0.894425f, -0.447215f, 0.000000f, -0.9822f, 0.1876f, 0.0000f,
-0.723600f, 0.447215f, 0.525720f, -0.9822f, 0.1876f, 0.0000f,
-0.723600f, 0.447215f, -0.525720f, -0.9822f, 0.1876f, 0.0000f,

-0.276385f, -0.447215f, -0.850640f, -0.3035f, 0.1876f, -0.9342f,
-0.723600f, 0.447215f, -0.525720f, -0.3035f, 0.1876f, -0.9342f,
0.276385f, 0.447215f, -0.850640f, -0.3035f, 0.1876f, -0.9342f,

0.723600f, -0.447215f, -0.525720f, 0.7946f, 0.1876f, -0.5774f,
0.276385f, 0.447215f, -0.850640f, 0.7946f, 0.1876f, -0.5774f,
0.894425f, 0.447215f, 0.000000f, 0.7946f, 0.1876f, -0.5774f,

0.276385f, 0.447215f, 0.850640f, 0.4911f, 0.7947f, 0.3568f,
0.894425f, 0.447215f, 0.000000f, 0.4911f, 0.7947f, 0.3568f,
0.000000f, 1.000000f, 0.000000f, 0.4911f, 0.7947f, 0.3568f,

-0.723600f, 0.447215f, 0.525720f, -0.1876f, 0.7947f, 0.5774f,
0.276385f, 0.447215f, 0.850640f, -0.1876f, 0.7947f, 0.5774f,
0.000000f, 1.000000f, 0.000000f, -0.1876f, 0.7947f, 0.5774f,

-0.723600f, 0.447215f, -0.525720f, -0.6071f, 0.7947f, 0.0000f,
-0.723600f, 0.447215f, 0.525720f, -0.6071f, 0.7947f, 0.0000f,
0.000000f, 1.000000f, 0.000000f, -0.6071f, 0.7947f, 0.0000f,

0.276385f, 0.447215f, -0.850640f, -0.1876f, 0.7947f, -0.5774f,
-0.723600f, 0.447215f, -0.525720f, -0.1876f, 0.7947f, -0.5774f,
0.000000f, 1.000000f, 0.000000f, -0.1876f, 0.7947f, -0.5774f,

0.894425f, 0.447215f, 0.000000f, 0.4911f, 0.7947f, -0.3568f,
0.276385f, 0.447215f, -0.850640f, 0.4911f, 0.7947f, -0.3568f,
0.000000f, 1.000000f, 0.000000f, 0.4911f, 0.7947f, -0.3568f
